document_id,document_path,document_desc,date_creation,year_creation,fk_unit,fk_document_type,fk_period,fk_organization
2,2019/Aquilion_64/Ремонт/2019-01-25.pdf,"",2019-01-25,2019,6,2,1,5
3,2019/Aquilion_64/Дефектный_акт/2019-01-25.pdf,"",2019-01-25,2019,6,6,1,5
4,2019/Aquilion_64/Ремонт/2019-02-20.pdf,"",2019-02-20,2019,6,2,1,5
5,2019/Aquilion_64/Сервисное_обслуживание/2019-06-20.pdf,"",2019-06-20,2019,6,1,4,5
6,2019/Aquilion_64/Сервисное_обслуживание/2019-03-28.pdf,"",2019-03-28,2019,6,1,5,5
7,2019/Aquilion_64/Сервисное_обслуживание/2019-09-18.pdf,"",2019-09-18,2019,6,1,5,5
8,2020/Aquilion_64/Сервисное_обслуживание/2020-06-11.pdf,"",2020-06-11,2020,6,1,4,5
9,2020/Aquilion_64/Сервисное_обслуживание/2020-08-14.pdf,"",2020-08-14,2020,6,1,5,5
10,2020/Aquilion_64/Сервисное_обслуживание/2020-11-23.pdf,"",2020-11-23,2020,6,1,6,5
11,2020/Aquilion_64/Ремонт/2020-12-12.pdf,"",2020-12-12,2020,6,2,1,5
13,2020/Aquilion_64/Сервисное_обслуживание/2020-03-19.pdf,"",2020-03-19,2020,6,1,5,5
14,2019/Aquilion_64/Сервисное_обслуживание/2019-12-05.pdf,"",2019-12-05,2019,6,1,6,5
15,2021/Aquilion_64/Ремонт/2021-01-05.pdf,"",2021-01-05,2021,6,2,1,5
16,2021/Aquilion_64/Ремонт/2021-02-26.pdf,"",2021-02-26,2021,6,2,1,5
17,2021/Aquilion_64/Сервисное_обслуживание/2021-02-26.pdf,"",2021-02-26,2021,6,1,5,5
18,2021/Aquilion_64/Ремонт/2021-04-05.pdf,"",2021-04-05,2021,6,2,1,5
19,2021/Aquilion_64/Сервисное_обслуживание/2021-05-13.pdf,"",2021-05-13,2021,6,1,5,5
20,2021/Aquilion_64/Ремонт/2021-07-09.pdf,"",2021-07-09,2021,6,2,1,5
21,2021/Aquilion_64/Сервисное_обслуживание/2021-08-27.pdf,"",2021-08-27,2021,6,1,5,5
22,2021/Aquilion_64/Сервисное_обслуживание/2021-11-24.pdf,"",2021-11-24,2021,6,1,6,5
