unit_parameter_id,fk_unit,fk_parameter,fk_period
1,1,1,1
2,1,2,1
3,1,3,1
4,1,10,2
5,1,11,2
6,1,4,1
7,1,5,1
8,3,1,1
9,3,3,1
10,3,4,1
11,3,16,1
12,3,7,1
13,3,12,2
14,3,17,2
15,3,13,1
16,3,15,1
17,3,14,1
18,3,11,2
19,3,18,2
20,3,19,2
21,3,20,2
22,3,21,2
23,3,22,4
24,3,32,4
25,3,23,4
26,3,25,4
27,3,26,4
28,3,10,4
29,3,27,4
30,3,28,4
31,3,29,4
32,3,30,4
33,3,31,4
34,3,33,4
35,4,1,1
36,4,2,1
37,4,3,1
38,4,16,1
39,4,4,1
40,4,5,1
41,4,7,1
42,4,17,1
44,4,34,1
45,4,35,1
46,4,36,1
47,4,37,1
48,4,38,1
49,4,28,1
50,4,39,1
51,4,40,1
52,4,41,1
53,4,42,1
54,4,43,1
55,4,44,1
43,4,12,2
56,5,1,1
57,5,2,1
58,5,3,1
59,5,42,1
60,5,7,1
61,5,45,1
62,6,1,1
63,6,46,1
64,6,48,1
65,6,47,1
66,6,49,1
67,2,1,1
68,2,46,1
69,2,48,1
70,2,47,1
71,2,49,1
72,7,1,1
73,7,2,1
74,7,3,1
75,7,4,1
76,7,5,1
77,7,6,1
78,7,7,1
79,7,9,1
80,7,8,1
81,8,1,1
82,8,2,1
83,8,3,1
84,8,4,1
85,8,5,1
86,8,6,1
87,8,7,1
88,8,9,1
89,8,8,1
90,1,6,1
91,1,7,1
92,1,8,1
93,9,1,1
94,9,2,1
95,9,3,1
96,9,4,1
97,9,5,1
98,9,6,1
99,9,7,1
100,9,8,1
101,10,1,1
102,10,2,1
103,10,3,1
104,10,4,1
105,10,5,1
106,10,6,1
107,10,7,1
108,10,8,1
109,11,1,1
110,11,2,1
111,11,3,1
112,11,42,1
113,11,45,1
114,11,7,1
115,1,21,2
116,1,12,2
117,1,17,2
118,4,10,2
119,4,11,2
120,4,50,2
121,4,51,2
122,4,52,2
123,4,53,3
124,4,54,3
125,4,55,3
126,4,56,3
127,4,57,3
128,4,58,3
129,5,59,3
130,5,60,3
131,5,61,3
132,5,28,3
133,5,62,3
134,5,63,3
135,5,8,3
136,6,64,3
137,6,65,3
138,6,66,3
139,6,67,3
